host_type,room_type,location,room_desc,no_of_guests,ratings,no_of_reviews,price
SUPERHOST,Room in boutique hotel in Manhattan,boutiquehotelinManhattan,"Gild Hall - Luxury Boutique Hotel, King Bed",2.0,3.88,8,100.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Freehand New York - Artist Room,1.0,4.38,164,80.0
SUPERHOST,Entire apartment in Chinatown,Chinatown,"138 Bowery, Vibrant Queen Room",2.0,na,na,81.0
SUPERHOST,Shared room in Hell's Kitchen,Hell'sKitchen,Cozy shared room in Times Square,1.0,4.91,11,30.0
SUPERHOST,Entire apartment in Crown Heights,CrownHeights,"Comfy, Cozy Studio at the Grand Old Mansion",2.0,4.74,72,80.0
SUPERHOST,Entire apartment in Queens,Queens,Cozy & bright entire apt 12 mins away to Manhattan,4.0,4.94,51,51.0
SUPERHOST,Private room in Bushwick,Bushwick,POSTED UP ON PUTNAM,2.0,4.87,91,49.0
SUPERHOST,Private room in Williamsburg,Williamsburg,Cozy Williamsburg room,2.0,4.66,62,35.0
SUPERHOST,Entire apartment in Hell's Kitchen,Hell'sKitchen,Midtown Manhattan Hideaway Disinfected &Sanitized!,2.0,4.51,275,74.0
SUPERHOST,Hotel room in Manhattan,Manhattan,Beautiful King Bed Hotel Room,2.0,4.64,11,79.0
SUPERHOST,Hotel room in South Street Seaport,SouthStreetSeaport,Large King Bed Hotel Room,2.0,na,na,79.0
SUPERHOST,Hotel room in South Street Seaport,SouthStreetSeaport,Water View King Bed Hotel Room,2.0,4.89,9,89.0
SUPERHOST,Hotel room in South Street Seaport,SouthStreetSeaport,Water View King Bed Hotel Room,2.0,na,na,89.0
SUPERHOST,Entire place in Midtown,Midtown,Lovely studio in Midtown Manhattan,2.0,4.83,6,60.0
SUPERHOST,Private room in Manhattan,Manhattan,Downtown Manhattan Bedroom! Top of Fidi/City Hall,1.0,5.0,10,50.0
SUPERHOST,Private room in Queens,Queens,Chic Designer Home Guest Studio,2.0,4.9,156,65.0
SUPERHOST,Private room in Washington Heights,WashingtonHeights,Quiet stylish room near Express Train to Midtown,2.0,4.92,49,55.0
SUPERHOST,Private room in Manhattan,Manhattan,Cozy room - only 20 min to Times Square,2.0,na,na,24.0
SUPERHOST,Private room in Manhattan,Manhattan,By the seaport,1.0,na,na,34.0
SUPERHOST,Private room in Elmhurst,Elmhurst,Affordable room near of LGA airport in Queens.,1.0,4.65,335,35.0
SUPERHOST,Private room in Manhattan,Manhattan,Chic Designer’s Room & 2 Beds in Manhattan LES,2.0,4.58,289,47.0
